fsq_id,name,latitude,longitude,category_main_name,category_main_id,all_categories,address,locality,region,area_searched,price_tier,rating,popularity_score,tips_count
4e432030b61ce646d99fdc26,D & J Country Cooking,40.726489,-74.213598,Comfort Food Restaurant,13134,"[{""id"": 13134, ""name"": ""Comfort Food Restaurant"", ""short_name"": ""Comfort Food"", ""plural_name"": ""Comfort Food Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/default_"", ""suffix"": "".png""}}, {""id"": 13344, ""name"": ""Southern Food Restaurant"", ""short_name"": ""Southern / Soul"", ""plural_name"": ""Southern Food Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/southern_"", ""suffix"": "".png""}}]","363 Madison Ave (18th Street), Newark, NJ 07108",Newark,NJ,"Newark, NJ",,,0.9983713865138275,
4f32800c19836c91c7dddd47,G's Barbecue and Grill,40.729245,-74.215291,BBQ Joint,13026,"[{""id"": 13026, ""name"": ""BBQ Joint"", ""short_name"": ""BBQ"", ""plural_name"": ""BBQ Joints"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/bbqalt_"", ""suffix"": "".png""}}]","729 Springfield Ave, Irvington, NJ 07111",Irvington,NJ,"Newark, NJ",,,0.2808418678943907,
4d7e71cecd09224b66594a30,Fong's Restaurant,40.710898,-74.206145,Chinese Restaurant,13099,"[{""id"": 13099, ""name"": ""Chinese Restaurant"", ""short_name"": ""Chinese"", ""plural_name"": ""Chinese Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/asian_"", ""suffix"": "".png""}}, {""id"": 13145, ""name"": ""Fast Food Restaurant"", ""short_name"": ""Fast Food"", ""plural_name"": ""Fast Food Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/fastfood_"", ""suffix"": "".png""}}]","967 Bergen St, Newark, NJ 07112",Newark,NJ,"Newark, NJ",1.0,,0.9883491496758433,
4e6deb908998a706cdad5dfb,Pancho's Lunch Truck,40.730896,-74.125623,Restaurant,13065,"[{""id"": 13065, ""name"": ""Restaurant"", ""short_name"": ""Restaurant"", ""plural_name"": ""Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/default_"", ""suffix"": "".png""}}]","593 Avenue P, Newark, NJ 07105",Newark,NJ,"Newark, NJ",1.0,,0.9617902220551849,
4deac7e0c65be8091db037a3,Tasty Jamaican & American Restaurant,40.744905,-74.218603,American Restaurant,13068,"[{""id"": 13068, ""name"": ""American Restaurant"", ""short_name"": ""American"", ""plural_name"": ""American Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/default_"", ""suffix"": "".png""}}, {""id"": 13097, ""name"": ""Caribbean Restaurant"", ""short_name"": ""Caribbean"", ""plural_name"": ""Caribbean Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/caribbean_"", ""suffix"": "".png""}}, {""id"": 13343, ""name"": ""South American Restaurant"", ""short_name"": ""South American"", ""plural_name"": ""South American Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/argentinian_"", ""suffix"": "".png""}}]","752 S Orange Ave, Newark, NJ 07106",Newark,NJ,"Newark, NJ",2.0,,0.9922327664505621,
4fbd52cee4b0ef4a9addcb16,Aishah Chinese Halal,40.708322,-74.20756,Chinese Restaurant,13099,"[{""id"": 13099, ""name"": ""Chinese Restaurant"", ""short_name"": ""Chinese"", ""plural_name"": ""Chinese Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/asian_"", ""suffix"": "".png""}}]","1042 Bergen St, Newark, NJ 07112",Newark,NJ,"Newark, NJ",1.0,,0.9592220238654515,
4bc4fa5be58e95216247c9e1,McDonald's,40.738185,-74.225164,Burger Joint,13031,"[{""id"": 13031, ""name"": ""Burger Joint"", ""short_name"": ""Burgers"", ""plural_name"": ""Burger Joints"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/burger_"", ""suffix"": "".png""}}, {""id"": 13145, ""name"": ""Fast Food Restaurant"", ""short_name"": ""Fast Food"", ""plural_name"": ""Fast Food Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/fastfood_"", ""suffix"": "".png""}}]","915 18th Ave, Newark, NJ 07106",Newark,NJ,"Newark, NJ",1.0,5.5,0.9992170127470325,5.0
5494ac9b498e778f1986bd4e,Vesper Tavern,40.694373,-74.173216,American Restaurant,13068,"[{""id"": 13068, ""name"": ""American Restaurant"", ""short_name"": ""American"", ""plural_name"": ""American Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/default_"", ""suffix"": "".png""}}]","3 Brewster Rd (EWR Airport), Newark, NJ 07114",Newark,NJ,"Newark, NJ",2.0,5.5,0.9951141595414826,33.0
4c9397ba94a0236acb908412,Golden Krust Caribbean Restaurant,40.715384,-74.222582,Caribbean Restaurant,13097,"[{""id"": 13097, ""name"": ""Caribbean Restaurant"", ""short_name"": ""Caribbean"", ""plural_name"": ""Caribbean Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/caribbean_"", ""suffix"": "".png""}}, {""id"": 11056, ""name"": ""Food and Beverage Service"", ""short_name"": ""Food Service"", ""plural_name"": ""Food and Beverage Services"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/shops/foodanddrink_"", ""suffix"": "".png""}}]","467 Lyons Ave, Newark, NJ 07112",Newark,NJ,"Newark, NJ",2.0,5.6,0.9894453318299978,7.0
4deaacff88774880e32383ab,Bobby's Restaurant & Southern Cuisine,40.711299,-74.216508,South American Restaurant,13343,"[{""id"": 13343, ""name"": ""South American Restaurant"", ""short_name"": ""South American"", ""plural_name"": ""South American Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/argentinian_"", ""suffix"": "".png""}}, {""id"": 13344, ""name"": ""Southern Food Restaurant"", ""short_name"": ""Southern / Soul"", ""plural_name"": ""Southern Food Restaurants"", ""icon"": {""prefix"": ""https://ss3.4sqi.net/img/categories_v2/food/southern_"", ""suffix"": "".png""}}]","272 Lyons Ave, Newark, NJ 07112",Newark,NJ,"Newark, NJ",2.0,,0.9623226533872029,
