id,name,latitude,longitude,category,address,borough,price,rating,hours,popularity,website,phone
3fd66200f964a5208de81ee3,Rudy's Bar & Grill,40.760014,-73.991715,Dive Bar,"6, 2, 7,  , 9, t, h,  , A, v, e,  , (, b, t, w, n,  , W,  , 4, 4, t, h,  , &,  , W,  , 4, 5, t, h,  , S, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 3, 6",Manhattan,,,,,,
6370235a1698612345fbc9c0,The Dickens,40.760937,-73.987514,Gay Bar,"7, 8, 3,  , 8, t, h,  , A, v, e,  , (, 4, 8, t, h, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 3, 6",Manhattan,,,,,,
61bb56a6e878e20242bc0598,Other Half Brewing,40.757673,-73.978518,Beer Bar,"6, 0, 0,  , 5, t, h,  , A, v, e,  , (, b, t, w, n,  , W,  , 4, 8, t, h,  , &,  , 4, 9, t, h,  , S, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 0",Manhattan,,,,,,
612acfc7c8cfe5176251444e,La Pecora Bianca Bryant Park,40.752534,-73.982991,Bar,"2, 0,  , W,  , 4, 0, t, h,  , S, t,  , (, b, t, w, n,  , 5, t, h,  , A, v, e,  , &,  , 6, t, h,  , A, v, e, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 1, 8",Manhattan,,,,,,
6195afec8a1d954d76c8e668,Zou Zou's,40.752873,-73.99838,Cocktail Bar,"3, 8, 5,  , 9, t, h,  , A, v, e,  , (, 3, 1, s, t,  , S, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 0, 1",Manhattan,,,,,,
5fa34a73a0a88d716596f99b,Dolly Varden,40.762971,-73.986152,Cocktail Bar,"3, 0, 2,  , W,  , 5, 1, s, t,  , S, t,  , (, b, t, w, n,  , 8, t, h,  , a, n, d,  , 9, t, h,  , A, v, e, s, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 1, 9",Manhattan,,,,,,
3fd66200f964a52084e81ee3,Jimmy's Corner,40.75659,-73.984635,Dive Bar,"1, 4, 0,  , W,  , 4, 4, t, h,  , S, t,  , (, b, t, w, n,  , 6, t, h,  , &,  , 7, t, h,  , A, v, e, ., ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 3, 6",Manhattan,,,,,,
3fd66200f964a520aee91ee3,Gramercy Tavern,40.73846,-73.988371,Bar,"4, 2,  , E,  , 2, 0, t, h,  , S, t,  , (, b, t, w, n,  , B, r, o, a, d, w, a, y,  , &,  , P, a, r, k,  , A, v, e, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 0, 3",Manhattan,,,,,,
3fd66200f964a5205ce81ee3,Dive Bar,40.794043,-73.970758,Dive Bar,"7, 3, 2,  , A, m, s, t, e, r, d, a, m,  , A, v, e,  , (, b, t, w, n,  , 9, 5, t, h,  , &,  , 9, 6, t, h,  , S, t, ), ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 2, 5",Manhattan,,,,,,
62b4f2508643a3291d42e00a,Hotel Chelsea Lobby Bar,40.744337,-73.996777,Hotel Bar,"2, 2, 6,  , W,  , 2, 3, r, d,  , S, t, ,,  , N, e, w,  , Y, o, r, k, ,,  , N, Y,  , 1, 0, 0, 1, 1",Manhattan,,,,,,
